"station_id","station_name","date","year","month","highest","mhhw","mhw","msl","mtl","mlw","mllw","dtl","gt","mn","dhq","dlq","hwi","lwi","lowest","inferred"
8726724,"Clearwater Beach",1973-05-01,1973,5,1.554,1.381,1.262,0.96,0.96,0.658,0.463,0.92,0.92,0.604,0.119,0.195,4.54,10.41,0.149,0
8726724,"Clearwater Beach",1973-06-01,1973,6,1.606,1.378,1.25,0.951,0.954,0.655,0.448,0.914,0.93,0.594,0.128,0.207,4.48,10.53,0.162,0
8726724,"Clearwater Beach",1973-07-01,1973,7,1.579,1.384,1.253,0.951,0.942,0.631,0.457,0.92,0.927,0.622,0.131,0.174,4.48,10.25,0.186,0
8726724,"Clearwater Beach",1973-08-01,1973,8,1.573,1.396,1.28,0.981,0.972,0.668,0.555,0.975,0.841,0.613,0.116,0.113,4.37,10.5,0.439,0
8726724,"Clearwater Beach",1973-09-01,1973,9,1.539,1.426,1.326,1.036,1.027,0.732,0.61,1.018,0.817,0.594,0.101,0.122,4.52,10.37,0.384,0
8726724,"Clearwater Beach",1973-10-01,1973,10,1.664,1.378,1.289,1.024,1.018,0.747,0.588,0.981,0.789,0.543,0.088,0.158,4.24,10.15,0.418,0
8726724,"Clearwater Beach",1973-11-01,1973,11,1.64,1.399,1.292,1.012,1.021,0.753,0.533,0.966,0.866,0.539,0.107,0.219,4.37,10.27,0.012,0
8726724,"Clearwater Beach",1973-12-01,1973,12,1.53,1.277,1.161,0.896,0.893,0.622,0.436,0.856,0.841,0.539,0.116,0.186,4.3,10.32,0.024,0
8726724,"Clearwater Beach",1974-01-01,1974,1,1.533,1.295,1.158,0.872,0.866,0.573,0.393,0.844,0.902,0.585,0.137,0.18,4.4,10.3,0.101,0
8726724,"Clearwater Beach",1974-02-01,1974,2,1.612,1.271,1.149,0.869,0.863,0.579,0.43,0.85,0.841,0.57,0.122,0.149,4.55,10.31,0.012,0
8726724,"Clearwater Beach",1974-03-01,1974,3,NA,1.289,1.173,0.875,0.869,0.564,0.396,0.841,0.893,0.61,0.116,0.168,NA,NA,NA,11
8726724,"Clearwater Beach",1974-04-01,1974,4,1.512,1.283,1.17,0.896,0.887,0.607,0.448,0.866,0.835,0.564,0.113,0.158,4.8,10.49,0.073,0
8726724,"Clearwater Beach",1974-05-01,1974,5,1.685,1.35,1.244,0.966,0.96,0.674,0.503,0.927,0.847,0.57,0.107,0.171,4.58,10.45,0.311,0
8726724,"Clearwater Beach",1974-06-01,1974,6,1.82,1.454,1.323,1.036,1.03,0.738,0.549,1,0.905,0.585,0.131,0.189,4.49,10.41,0.146,0
8726724,"Clearwater Beach",1974-07-01,1974,7,1.533,1.372,1.244,0.954,0.948,0.655,0.5,0.936,0.872,0.588,0.128,0.155,4.46,10.4,0.165,0
8726724,"Clearwater Beach",1974-08-01,1974,8,1.591,1.375,1.259,0.969,0.963,0.664,0.542,0.957,0.832,0.594,0.116,0.122,4.54,10.39,0.323,0
8726724,"Clearwater Beach",1974-09-01,1974,9,1.545,1.436,1.344,1.064,1.055,0.765,0.671,1.055,0.765,0.579,0.091,0.094,4.38,10.43,0.488,0
8726724,"Clearwater Beach",1974-10-01,1974,10,1.643,1.359,1.28,1.003,1,0.719,0.585,0.972,0.774,0.561,0.079,0.134,4.46,10.51,0.274,0
8726724,"Clearwater Beach",1974-11-01,1974,11,1.64,1.292,1.177,0.908,0.905,0.631,0.445,0.869,0.847,0.546,0.116,0.186,4.33,10.33,0.189,0
8726724,"Clearwater Beach",1974-12-01,1974,12,1.551,1.268,1.137,0.872,0.863,0.585,0.387,0.829,0.881,0.552,0.131,0.198,4.41,10.36,0.082,0
8726724,"Clearwater Beach",1975-01-01,1975,1,1.594,1.247,1.134,0.847,0.844,0.555,0.399,0.823,0.847,0.579,0.113,0.155,4.46,10.58,0.171,0
8726724,"Clearwater Beach",1975-02-01,1975,2,1.695,1.311,1.198,0.905,0.899,0.597,0.482,0.896,0.829,0.6,0.113,0.116,4.62,10.52,0.22,0
8726724,"Clearwater Beach",1975-03-01,1975,3,1.478,1.259,1.167,0.881,0.878,0.588,0.463,0.86,0.796,0.579,0.091,0.125,4.73,10.74,0.29,0
8726724,"Clearwater Beach",1975-04-01,1975,4,1.588,1.274,1.177,0.899,0.896,0.616,0.466,0.872,0.808,0.561,0.098,0.149,4.8,10.88,0.238,0
8726724,"Clearwater Beach",1975-05-01,1975,5,1.57,1.344,1.241,0.96,0.96,0.677,0.524,0.933,0.82,0.564,0.104,0.152,4.59,10.63,0.293,0
8726724,"Clearwater Beach",1975-06-01,1975,6,1.509,1.353,1.247,0.96,0.96,0.671,0.497,0.927,0.856,0.576,0.107,0.174,4.28,10.27,0.229,0
8726724,"Clearwater Beach",1975-07-01,1975,7,1.658,1.445,1.323,1.033,1.03,0.738,0.597,1.021,0.847,0.585,0.122,0.14,4.4,10.89,0.384,0
8726724,"Clearwater Beach",1975-08-01,1975,8,NA,1.423,1.314,1.018,1.018,0.725,0.604,1.012,0.82,0.588,0.11,0.122,NA,NA,NA,11
8726724,"Clearwater Beach",1975-09-01,1975,9,1.753,1.475,1.387,1.1,1.1,0.814,0.692,1.085,0.783,0.573,0.088,0.122,NA,NA,0.503,11
8726724,"Clearwater Beach",1975-10-01,1975,10,1.625,1.35,1.28,1.012,1.003,0.725,0.594,0.972,0.756,0.555,0.07,0.131,4.59,10.73,0.378,0
8726724,"Clearwater Beach",1975-11-01,1975,11,1.567,1.332,1.237,0.969,0.963,0.686,0.503,0.917,0.829,0.552,0.094,0.183,4.36,10.52,0.226,0
8726724,"Clearwater Beach",1975-12-01,1975,12,1.698,1.344,1.225,0.951,0.945,0.664,0.475,0.908,0.869,0.561,0.119,0.189,4.57,10.61,0.064,0
8726724,"Clearwater Beach",1976-01-01,1976,1,1.518,1.158,1.024,0.753,0.747,0.469,0.302,0.732,0.856,0.555,0.134,0.168,4.73,10.71,-0.037,0
8726724,"Clearwater Beach",1976-02-01,1976,2,NA,1.152,1.03,0.744,0.738,0.445,0.314,0.732,0.838,0.585,0.122,0.131,NA,NA,NA,11
8726724,"Clearwater Beach",1976-03-01,1976,3,NA,1.213,1.122,0.826,0.82,0.521,0.408,0.811,0.805,0.6,0.091,0.113,NA,NA,NA,11
8726724,"Clearwater Beach",1976-04-01,1976,4,1.554,1.289,1.186,0.905,0.896,0.61,0.469,0.878,0.82,0.576,0.104,0.14,4.51,10.49,0.21,0
8726724,"Clearwater Beach",1976-05-01,1976,5,1.734,1.39,1.265,0.972,0.975,0.686,0.506,0.948,0.884,0.579,0.125,0.18,4.44,10.58,0.241,0
8726724,"Clearwater Beach",1976-06-01,1976,6,1.539,1.375,1.256,0.969,0.966,0.677,0.503,0.939,0.872,0.579,0.119,0.174,4.61,10.64,0.232,0
8726724,"Clearwater Beach",1976-07-01,1976,7,1.509,1.335,1.225,0.945,0.933,0.643,0.506,0.92,0.829,0.582,0.11,0.137,4.56,10.51,0.286,0
8726724,"Clearwater Beach",1976-08-01,1976,8,1.533,1.344,1.231,0.942,0.933,0.637,0.527,0.936,0.817,0.594,0.113,0.11,4.46,10.5,0.341,0
8726724,"Clearwater Beach",1976-09-01,1976,9,NA,1.393,1.301,1.015,1.006,0.707,0.594,0.994,0.799,0.594,0.091,0.113,NA,NA,NA,11
8726724,"Clearwater Beach",1976-10-01,1976,10,1.689,1.283,1.207,0.939,0.93,0.655,0.509,0.896,0.774,0.552,0.076,0.146,4.5,10.54,0.131,0
8726724,"Clearwater Beach",1976-11-01,1976,11,NA,1.216,1.119,0.853,0.847,0.579,0.411,0.814,0.805,0.539,0.098,0.168,NA,NA,NA,11
8726724,"Clearwater Beach",1976-12-01,1976,12,1.957,1.271,1.125,0.838,0.832,0.539,0.36,0.817,0.911,0.585,0.146,0.18,4.44,10.54,0.04,1
8726724,"Clearwater Beach",1977-01-01,1977,1,1.527,1.192,1.064,0.777,0.771,0.475,0.332,0.762,0.86,0.588,0.128,0.143,4.55,10.56,-0.256,1
8726724,"Clearwater Beach",1977-02-01,1977,2,1.363,1.122,1.021,0.741,0.735,0.448,0.317,0.719,0.805,0.573,0.101,0.131,4.7,10.75,0.03,1
8726724,"Clearwater Beach",1977-03-01,1977,3,1.42,1.216,1.116,0.838,0.832,0.546,0.418,0.817,0.799,0.57,0.101,0.128,4.58,10.5,0.128,1
8726724,"Clearwater Beach",1977-04-01,1977,4,1.442,1.204,1.128,0.841,0.835,0.539,0.415,0.811,0.789,0.588,0.076,0.125,NA,NA,0.082,1
8726724,"Clearwater Beach",1977-05-01,1977,5,1.5,1.347,1.244,0.942,0.936,0.631,0.479,0.914,0.869,0.613,0.104,0.152,NA,NA,0.21,1
8726724,"Clearwater Beach",1977-06-01,1977,6,1.685,1.381,1.271,0.985,0.975,0.683,0.506,0.945,0.875,0.588,0.11,0.177,4.59,10.6,0.216,0
8726724,"Clearwater Beach",1977-07-01,1977,7,1.551,1.359,1.234,0.942,0.927,0.622,0.472,0.914,0.887,0.613,0.125,0.149,4.58,10.64,0.107,0
8726724,"Clearwater Beach",1977-08-01,1977,8,1.597,1.387,1.289,1,0.994,0.698,0.6,0.994,0.786,0.591,0.098,0.098,4.84,10.46,0.378,1
8726724,"Clearwater Beach",1977-09-01,1977,9,1.6,1.442,1.362,1.076,1.07,0.777,0.68,1.061,0.762,0.585,0.079,0.098,4.48,10.58,0.533,1
8726724,"Clearwater Beach",1977-10-01,1977,10,1.49,1.308,1.234,0.951,0.945,0.658,0.53,0.92,0.777,0.576,0.073,0.128,4.47,10.54,0.223,0
8726724,"Clearwater Beach",1977-11-01,1977,11,1.512,1.335,1.241,0.969,0.963,0.683,0.521,0.927,0.814,0.558,0.094,0.162,4.54,10.5,-0.009,1
8726724,"Clearwater Beach",1977-12-01,1977,12,NA,1.265,1.1,0.838,0.832,0.567,0.354,0.811,0.911,0.533,0.165,0.213,NA,NA,NA,11
8726724,"Clearwater Beach",1978-01-01,1978,1,2.015,1.195,1.067,0.78,0.774,0.479,0.323,0.759,0.872,0.588,0.128,0.155,4.56,10.54,-0.006,1
8726724,"Clearwater Beach",1978-02-01,1978,2,1.576,1.231,1.125,0.847,0.838,0.552,0.427,0.829,0.805,0.573,0.107,0.125,4.81,10.79,0.064,0
8726724,"Clearwater Beach",1978-03-01,1978,3,1.478,1.207,1.125,0.829,0.823,0.521,0.39,0.799,0.817,0.604,0.082,0.131,4.53,10.61,0.183,0
